years,Nanotech market value (billions USD),Annual revenue for Oxford Nanopore Technologies Ltd. (£1000 GBP),Funding raised by Oxford Nanopore Technologies Ltd (Million GBP),Global market for nanoparticles in biotechnology and pharmaceuticals (billion USD),The global market for nanoparticles instrumentation in life sciences (billiion USD),Global market value of nano material (billion USD),US government investment in Nanotechnology (million USD),Global government investment in Nanotechnology (million USD),Global market size of nanomedicine (USD billions) (visual estimation on chart),Graphene-based products market value worldwide from 2015 to 2025 (million USD),Number of deals to Graphene focused startups,Deals amount (USD millions) to Graphene focused startups,Number of deals to carbon nanotube focused startups ,Deals amount (USD millions) to carbon nanotube focused startups,Global shipment volumn of carbon nanotube (Tons) (forecast),2011 forecast for global carbon nanotube market,"2015 Ecomomic analysis of multi-walled carbon nanotubes (MWCNTs) demand in Tonne (MT), (Lithium-ion Battery Electrodes + Conductive Polymer Composites ) visual estimation on chart",Nano research publication by leading countries (Geogia Tech search in Web of Science) (visual estimation),Scopus publication with keywords 'nano',Nanotechnology publications per GDP(ppp) (Article per billion USD) ,Published papers on (Nano OR ultrafine particles) AND (toxic OR cytotoxic) (ISI web of science) (visual estimation on chart),Published papers on Nano OR ultrafine particles (ISI web of science) (visual estimation on chart),Nanotechnology patents in EPO,Share of nanotechnology patent applications to total patent applications (%) ,Number of nanotechnology standards (global),Nanotechnology patents in United States Patent and Trademark Office (USPTO),Nanoco Technologies-The IP portfolio of patents and pending patents,Number of carbon nanotube worldwide patents per year (visual estsimation on chart),Number of nanomaterals over time (visual estimation on chart),comulative total nano products listed on Consumer Products Inventory (CPI) over time,Number of available nano products in home and garden sector overt time (visual estimate on chart) (CPI),Number of available nano products in Health and Fitness sector overt time (visual estimate on chart) (CPI),Number of nano product available in USA (CPI) (visual estimate on chart),Number of nano product available in Europe (CPI) (visual estimate on chart),Number of nano product available in East Asia (CPI) (visual estimate on chart),Comulative number of nanoproducts on Nanodatabase over time,Number of products  associate with major nanomaterial (silver) over time on CPI,Number of nano tech firms in material sector over time (visual estimate)
2008,,,0.3184713375796179,,,,1.0114516233977486,0.8642559109874827,0.8333333333333334,,0.25,0.03208556149732621,1.0,1.5700325732899023,,,,0.7272727272727273,,0.798076923076923,5.919154228855722,3.6101994851994856,0.7857528332433891,,0.40249609984399376,0.5834778837814397,,0.8928571428571429,0.83,0.7911330049261084,0.7352941176470589,0.9591836734693877,0.548910411622276,0.5375939849624062,0.6183288409703506,,0.5050691244239632,2.122603586889301
2009,,,0.445859872611465,,,,1.1070987051857635,1.2614742698191934,0.9166666666666666,,0.5,0.5989304812834224,0.6666666666666666,0.22149837133550487,,,,0.8215564620431651,,0.8653846153846154,7.2190831556503205,4.231177606177607,0.8062601187263896,,0.5054602184087363,0.6762792714657415,,1.0,1.0,1.0,1.0,1.0,0.7082324455205813,0.7218045112781958,0.7881401617250676,,0.6889400921658988,2.317717996289425
2010,0.6038461538461538,,0.554140127388535,,,0.26829268292682934,1.2445832520007807,0.9337042188224386,1.0,,0.75,0.36363636363636365,0.6666666666666666,0.09771986970684038,,,,0.9032440640100563,,0.9038461538461537,8.661513859275054,4.909105534105535,0.91958985429034,,0.7769110764430577,0.9705117085862967,,1.1428571428571428,1.0,1.0,1.0,1.0,0.8585956416464893,0.8759398496240605,0.9153638814016176,,0.8539170506912444,2.518707482993198
2011,0.7730769230769231,,0.7961783439490446,,,0.2754634146341465,1.2019649944693864,0.9017153453871117,1.1333333333333333,,1.0,1.379679144385027,1.0,0.0065146579804560255,,0.5192593817159861,0.4444444444444444,1.0,,0.9903846153846154,10.246446339729923,5.643983268983271,1.08041014570966,,1.2230889235569422,1.0294882914137033,,1.4285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.7255720470006186
2012,0.7961538461538461,,1.0,,,0.33431956197113,1.2084715986726526,1.2749188687992583,1.2833333333333334,,1.25,1.2727272727272727,0.6666666666666666,1.1921824104234526,,0.6601091089436271,0.5555555555555556,1.0682111182675922,,1.0,11.973880597014928,6.435810810810813,1.222881813275769,,1.575663026521061,1.1582827406764962,,2.142857142857143,1.4,1.4167487684729063,1.7647058823529411,1.4306122448979592,1.132445520581114,1.0939849624060152,1.0420485175202159,0.4117246080436264,1.127188940092166,2.9383116883116895
2013,0.8807692307692307,,1.2738853503184715,0.8445945945945945,0.9491525423728813,0.44730512692882046,1.0086537835903442,0.7185906351414001,1.5,,1.0,0.7272727272727273,1.0,0.4364820846905537,,0.8591502727723591,0.6666666666666666,1.1818181818181819,0.6998233141222499,1.076923076923077,13.843816631130068,7.284588159588164,1.3545601726929304,,1.8658346333853355,1.3777103209019947,,2.4285714285714284,1.6,1.6039408866995073,1.536764705882353,1.2244897959183674,1.2559322033898306,1.1578947368421053,1.0415094339622641,0.41342876618950236,1.235483870967742,3.1569264069264085
2014,1.0,,1.1146496815286624,1.0,1.0,0.5121951219512195,1.0003903962521958,0.71256374594344,1.6666666666666667,,1.5,2.085561497326203,1.0,1.1270358306188923,,1.140849727227641,0.7777777777777778,1.2636363636363637,0.7920891001640654,1.1346153846153846,15.85625444207534,8.190315315315317,1.3912574203993524,,2.1653666146645865,1.8822636600173461,,3.0714285714285716,1.75,1.787192118226601,1.8088235294117647,1.030612244897959,1.3704600484261502,1.1917293233082704,0.9983827493261451,0.4843217450579414,1.3248847926267282,3.3814162028447763
2015,1.0384615384615385,0.1647162729079267,2.229299363057325,1.2166666666666668,1.0553672316384182,1.0,1.0,0.7121001390820584,1.8706349206349204,0.004832474226804124,2.75,3.86096256684492,1.6666666666666667,5.14657980456026,,1.530500909241197,0.8888888888888888,1.2727272727272727,0.8687634091960793,1.2115384615384615,18.01119402985075,9.152992277992283,1.5272531030760927,0.9104761904761905,2.5865834633385334,1.8620988725065049,0.6,3.2857142857142856,1.78,1.7087736326085672,1.9280698765992885,1.3507262364405221,1.4760290556900726,1.1954887218045107,0.9126684636118592,0.7774369461486026,1.3953917050691242,3.6117810760667917
2016,1.4586046137770279,1.0,3.1847133757961785,1.4945945945945949,1.1152542372881358,1.1110383275261326,0.9237250094560263,0.6524297584659198,2.093015873015873,-0.17775773195876296,0.5,1.8181818181818183,0.6666666666666666,1.530944625407166,,2.1170441395271946,1.1111111111111112,1.4045126280776754,0.9472466450717261,1.2884615384615385,20.308635394456292,10.172619047619051,2.165137614678899,0.9104761904761905,3.067082683307332,1.8395490026019081,0.7783333333333333,4.285714285714286,1.9288484848484853,1.7747074669191312,2.067868498750852,1.4244827042786226,1.5726392251815975,1.169172932330826,0.7843665768194059,0.8333333333333334,1.44700460829493,3.848021026592458
2017,1.8807692307692307,3.0441598586884524,2.974353406678247,1.8337837837837838,1.1796610169491526,1.4405415629666503,0.8301745914960823,0.5699146148242114,2.3324963924963926,-0.1695360824742269,2.0,0.2459893048128342,1.0,0.8729641693811074,0.6696908956640997,2.724483385683585,1.3888888888888888,1.4899145474666566,1.052753354928274,1.3173076923076923,22.74857853589197,11.249195624195629,2.5752833243389097,0.9180952380952382,3.6911076443057724,1.982870771899393,1.0,5.214285714285714,2.042545454545455,1.822830847991507,2.1986486486486485,1.5003482783074618,1.6602905569007258,1.1127819548872169,0.6134770889487857,1.1666666666666667,1.479723502304147,4.090136054421771
2018,2.096723535085604,6.297195848973284,3.1847133757961785,2.2342342342342336,1.2485875706214689,1.8241742160278747,0.7192429181165095,0.48105393093366566,2.5890764790764793,0.029497422680412444,1.6750000000000003,0.8793226381461677,1.0833333333333337,-0.7822631638394104,0.7932622991173472,3.4626644309567114,1.7777777777777777,1.575847083630223,1.166831433259013,1.3365384615384615,25.331023454157783,12.38272200772201,3.1386940097139773,1.081904761904762,4.330733229329173,1.8415004336513443,1.09,5.524684873949581,2.148013986013986,1.8531437758256952,2.3204103262926794,1.57832295852704,1.7389830508474569,1.0263157894736827,0.39999999999999813,1.212678936605317,1.4935483870967734,4.338126159554731
2019,2.4692307692307693,10.759107970854494,4.082993704808991,2.6959459459459456,1.3220338983050846,2.078048780487805,0.5909299893173079,0.3858477067942828,2.862756132756133,0.4193427835051545,1.6340909090909093,0.3256036298817042,1.1005050505050507,-3.6634661584212687,0.9001652776312552,4.307663604373805,2.2222222222222223,1.662310236568373,1.3115350637331202,1.3942307692307692,28.055970149253735,13.573198198198202,3.4052887209929845,1.081904761904762,5.254290171606864,2.063096270598439,1.2416666666666667,6.261029411764707,2.24525407925408,1.8656462504216955,2.4331535316829433,1.658406744937357,1.80871670702179,0.9097744360902231,0.14393530997304316,1.413087934560327,1.4884792626728096,4.591991341991346
2020,2.9153846153846152,16.429896224332087,4.707633661455317,3.2189189189189182,1.3999999999999995,2.878048780487805,0.4452358050984768,0.2842959424060625,3.1535353535353536,1.0,1.5590909090909086,-0.3502187651920283,1.1151515151515152,-7.433478507811906,1.0,5.259480905934866,2.7777777777777777,1.7493040062811074,1.4315762904379286,1.4649196956889265,30.92341862117982,14.820624195624202,3.386940097139773,1.1276190476190475,5.996879875195008,2.07307025151778,1.3279999999999996,7.046236915818961,2.3342657342657347,1.8603382717795078,2.5368782648194412,1.7405996375384127,1.8694915254237277,0.7631578947368398,-0.15471698113207832,1.7041581458759374,1.464516129032257,4.851731601731604
2021,3.40824007497205,23.309560609406056,5.379153489822278,3.8031531531531515,1.4824858757062138,3.29984868093579,0.28216036546001644,0.17639863776900455,3.4614141414141413,1.7714690721649493,1.4499999999999993,-1.14814454707503,1.1272727272727276,-12.092300212011324,1.08805429546014,6.318116335639894,3.2657407407407417,1.8368283927684266,1.582770516445609,1.5183854606931528,33.93336886993603,16.125000000000004,3.922650798610125,1.2144761904761912,6.538544489147986,2.4368369699182915,1.3949999999999991,7.880307386112342,2.4150489510489517,1.805911330049261,2.625,1.853061224489796,1.9213075060532678,0.5864661654135315,-0.4959568733153672,1.7740286298568506,1.4216589861751139,5.11734693877551
2022,3.9399024303804877,31.398101126076405,6.097553189909876,4.448648648648646,1.5694915254237276,3.899999004479842,0.10170367040192785,0.06215579288311002,3.786392496392497,2.7337500000000006,1.3068181818181808,-2.0681737157673012,1.1368686868686873,-17.63993127101952,1.1940781376375849,7.483569893488892,3.8709595959595964,1.92488339603033,1.7411323709261586,1.5715963900353038,37.08582089552239,17.48632561132562,4.334666807331334,1.2931700680272114,7.328933879159675,2.5927890791593033,1.435571428571428,8.763240822644851,2.487603729603731,1.7962909547805692,2.7172723143311375,1.911312741312741,1.96416464891041,0.3796992481202981,-0.8797843665768239,2.061872301749603,1.3599078341013815,5.388837353123073
2023,4.518809873512067,40.69551777434313,6.86283276171811,5.155405405405402,1.6610169491525397,4.5542787456445994,-0.09613428007579028,-0.058432592251622006,4.128470418470419,3.886842783505155,1.1295454545454526,-3.110306271268842,1.143939393939394,-24.076371684836495,1.382389140907972,8.755841579481856,4.536363636363637,2.013469016066816,1.9104065690787693,1.6245524837153797,40.38077469793889,18.90460102960104,4.769615214506856,1.3789387755102047,8.164372781336406,2.752861987717856,1.4497142857142848,9.695037225416486,2.5519300699300715,1.737551616423818,2.793941630706336,1.9998329524860132,1.9980629539951558,0.1428571428571388,-1.3061994609164467,2.2963768564995557,1.2792626728110577,5.666202844774279
2024,5.144962404366794,51.20181055420623,7.674992205246981,5.92342342342342,1.7570621468926526,5.262687904430066,-0.3113534859731373,-0.18536651763519196,4.487647907647908,5.2307474226804125,0.9181818181818162,-4.274542213579652,1.1484848484848484,-31.401621453462248,1.4929995629436508,10.134931393618784,5.261952861952864,2.1025852528778888,2.0905931109034426,1.6772537417333793,43.818230277185506,20.379826254826263,5.227496020136688,1.4717823129251708,9.044861195678173,2.9170556955939486,1.43742857142857,10.675696594427247,2.6080279720279744,1.6610018248288791,2.861592474827768,2.0904622698500246,2.0230024213075044,-0.12406015037594464,-1.7752021563342373,2.5421081985499168,1.179723502304146,5.949443413729131
2025,5.818360022944662,62.916979465665726,8.534031520496487,6.752702702702699,1.8576271186440647,6.0252264808362375,-0.543953947290114,-0.3186459832675994,4.8639249639249655,6.765463917525774,0.6727272727272702,-5.56088154269973,1.1505050505050507,-39.61568057689679,1.6363866994207763,11.620839335899682,6.047727272727274,2.1922321064635444,2.281691996400176,1.729700164089304,47.39818763326227,21.912001287001296,5.708309224220832,1.57170068027211,9.970399122184979,3.085370202787581,1.3987142857142842,11.705218929677137,2.6558974358974385,1.566641579995752,2.920224846695434,2.1832006934047743,2.0389830508474542,-0.42105263157895223,-2.286792452830193,2.7990663279006838,1.0612903225806427,6.238559059987637
