Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Alternative and nuclear energy (% of total energy use),Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Capture fisheries production (metric tons),Cereal production (metric tons),Cereal yield (kg per hectare),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Coal rents (% of GDP),Combustible renewables and waste (% of total energy),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)","Energy imports, net (% of energy use)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),Land area (sq. km),Land under cereal production (hectares),Methane emissions (kt of CO2 equivalent),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Mineral rents (% of GDP),Natural gas rents (% of GDP),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Oil rents (% of GDP),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Permanent cropland (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total fisheries production (metric tons),Total greenhouse gas emissions (kt of CO2 equivalent),Total natural resources rents (% of GDP),Urban population,Urban population (% of total population),Urban population growth (annual %),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
1981,,,37.73488709,39773318.9,3027894.339,1523332.911,5.95285257,7818586,10.19898557,0.255995704,70308777.03,1463008229,2458.030485,0.700860023,19879068.57,4.406638284,15.22111984,3083024.356,44.65107779,8388591.031,36.34546836,7377181.345,2.537984892,0.55226616,12.21870625,33.14665782,18.41303629,8.698230103,9.039647577,14.45280165,56.29768958,0.38064808,31835000000,0.225333205,100.1716502,87.8759593,,,0.2896035,81.67315369,129854989.7,595193203,5858004.267,1728553.141,0.203994253,0.398457154,2612070.208,190622.1599,3.364878545,4474453.73,0.901624028,,,34.74001378,17.94682175,16.96607926,,,,,,2716050910,60.22815377,1.055606859,131635200.3,,,78127363.03,31746296.04,4.809199611,1793552547,39.77184623,2.855806642,
1982,,,37.8791733,39925312.3,3071454.176,1599160.904,6.322326688,8213439,10.30291747,0.253871038,72121092.74,1496445993,2555.617541,0.694937223,19815965.25,4.314959591,14.969951,3022264.514,43.94284956,8229330.259,37.29288527,7545340.886,2.520131443,0.61838667,12.5410083,33.77805516,18.93498327,8.381620123,9.641358926,12.9028826,55.06255788,0.48228479,40590000000,1.038766336,99.76544082,86.7384661,,,0.373670961,80.98839023,129854759.7,585551387,6275398.892,1764397.284,0.169339213,0.08533074,2781256.607,192823.9445,2.194662103,6097785.635,0.908299211,,,35.36556707,17.83882222,17.05042464,,,,9002.138348,37824.5091,2747460924,59.8471469,1.156458956,131635200.3,,,80334531.74,33745859.07,3.441389688,1843335917,40.1528531,2.775685055,9.168631009
1983,,,37.95443835,40004627.8,3062602.597,1615048.292,6.885393628,9089265,10.34455333,0.25027548,71946274.38,1426699487,2465.389716,0.686123571,20034812.12,4.286135321,15.03332825,3068544.012,43.21321799,8182065.017,38.05009059,7783619.987,2.516271822,0.351794371,12.68935919,34.16025038,19.03790939,7.939991537,10.4959583,11.97636658,54.0766085,0.517749247,45442000000,2.007784824,96.89707593,91.73588978,,,0.293547271,80.3109587,129854719.7,578693906,6126518.821,1794675.834,0.180897815,0.275113022,2756521.519,195460.9206,2.470283609,5638032.81,0.907769628,,,35.99661447,17.75412195,17.15425649,,,,,,2780287213,59.50055573,1.194786383,131635200.3,,,81035539.38,33241117.37,3.571636089,1892420773,40.49944427,2.662827515,
1984,,,38.2401504,40305203.8,3035226.338,1603189.724,7.507469473,10191481.45,10.51805198,0.249968091,77654923.41,1605516213,2716.849665,0.67648121,20636636.76,4.339077192,15.80258888,3322459.675,42.13583591,8217724.504,38.5390066,8120293.539,2.499792835,0.275461991,12.59014838,33.8994054,18.4009715,8.463737686,11.95944623,10.86714718,53.23029027,0.536065803,49706000000,0.679863125,95.81965991,95.50069693,,,0.231344211,79.76756586,129853230.7,590946786,5973200.541,1831118.345,0.129680125,0.299680856,2670803.622,199300.111,2.435555401,4239805.768,0.916174208,,,36.62594041,17.68193461,17.2696677,,,,,,2811866065,59.14313443,1.135812583,131635200.3,,,87846404.86,31878367.24,3.371722584,1942474557,40.85686557,2.644960609,
1985,,,38.51167666,40591354.57,3026622.056,1606894.309,8.269709845,11354348.65,10.61510989,0.248609921,79380107.45,1622898714,2726.036788,0.677553326,21429383.16,4.428311744,15.86836415,3464304.667,40.57119696,8216531.69,40.13682286,8781871.301,2.506892943,0.297213002,12.4816645,34.81974145,17.85350226,8.106249862,13.65464147,9.16348209,52.08947341,0.560720483,54248000000,1.678089623,97.54005792,91.41950269,,,0.205763269,79.05676152,129853130.7,595331876,6025375.248,1867528.818,0.141273144,0.260717081,2672022.144,201064.6018,2.205315415,4164299.381,0.936906518,,,37.2665388,17.61332927,17.39163233,,,,,,2843618667,58.78301317,1.129235933,131635200.3,,,90734456.1,31931144.34,3.11028191,1993865001,41.21698683,2.645617355,
1986,,,38.52149432,40601740.92,3043764.037,1624808.885,8.66902877,12670909.1,10.65685063,0.245115901,84935065.92,1616900332,2718.433773,0.664245604,21729229.48,4.412252113,15.37796152,3403900.751,41.08137416,8436267.31,40.10400825,8897382.541,2.500321026,0.159788157,12.43228908,34.61320884,17.65534947,7.603267885,14.42641313,9.256832585,51.47330931,0.599560457,59693000000,0.700422459,94.82111678,93.33587146,,,0.228614961,78.75818184,129853230.7,594791616,6184970.687,1911609.732,0.099457373,0.108463017,2722859.061,204864.7904,0.923216998,4563713.931,0.963447481,,,37.92549409,17.55034449,17.52191672,,,,,,2875976196,58.418985,1.137899725,131635200.3,,,97605975.02,32849036.78,1.519540507,2047040177,41.581015,2.666939636,
1987,,,38.67248782,40760853.6,3073432.281,1707141.46,8.828670599,13971504.23,10.65288355,0.240595744,85595380.51,1560806624,2700.126523,0.659397058,22365639.63,4.461922924,16.16028238,3681832.784,39.79132894,8410674.203,40.62799977,9277575.204,2.497271688,0.068194828,12.29275323,35.04042936,16.88307047,7.977087332,14.80578687,8.846369209,51.8638859,0.604336419,63035000000,1.709610072,93.16480879,97.62494785,,,0.224772112,78.71931253,129853140.7,578047181,6449419.461,1945150.698,0.114336703,0.153222961,2904171.498,205167.0178,1.233480352,5402367.963,0.993793008,,,38.60173286,17.50478171,17.65972739,,,,8228.488518,37824.5091,2908949547,58.05378082,1.146509872,131633860.3,,,99566884.74,34762053.68,1.794006956,2101834427,41.94621918,2.676754986,10.69126828
1988,,,38.8016976,40897037,3044655.328,1668898.675,9.084804667,15531104.96,10.63030004,0.235770399,89066596.23,1526191864,2632.7948,0.656248179,23289432.35,4.565402665,16.34133985,3876844.764,39.59016749,8713793.945,40.51478247,9633855.63,2.513736505,0.092995816,12.02580068,34.76353936,16.63233102,7.753936681,15.29350621,9.105727101,51.62320314,0.603783739,65987000000,1.403211636,94.01171779,103.2349693,,,0.206892856,78.74699658,129853130.7,579687911,6276209.592,2022523.958,0.24820872,0.152156943,2765735.759,216277.649,0.993992412,4446962.072,1.015750786,,,39.28505726,17.45835689,17.79952977,,,,,,2941846007,57.68922419,1.130870765,131633870.3,,,104597701.2,34184147.35,1.694246748,2157626294,42.31077581,2.654436824,
1989,,,38.89514765,40995148.4,3102061.697,1708667.828,9.153488475,16486351.07,10.63975566,0.231798483,89603182.96,1655849580,2781.659682,0.643821145,23699896.02,4.566474137,16.86931674,4072637.721,39.74872362,8902883.119,39.98706033,9676007.379,2.520137423,0.126826906,11.9741198,34.24429359,15.71175138,8.77218886,14.9043643,9.406199616,52.42268206,1.109672473,1.28193E+11,1.002891848,96.06358489,103.5949439,,,0.216596543,78.72607376,129852140.7,595274958,6416172.961,2072483.378,0.204335693,0.159536707,2815144.209,220617.8969,1.452047027,4494111.637,1.027828895,,,39.96835966,17.42043642,17.94875233,,,,,,2974584483,57.33452023,1.112854851,131633870.3,,,106089534,34792835.4,2.159342877,2213536856,42.66547977,2.591299622,
1990,,,38.82763495,40923990.6,3152440,1823710,8.048778794,16850459.04,10.643489,0.227763434,86024297.41,1716847663,2890.294997,0.543632347,20607832.06,3.902964422,20.29800459,4227305.296,43.71853689,8534485.038,43.85662452,9227759.073,2.39963381,0.162552655,8.992453571,37.00595855,17.92874203,14.73076337,16.9202764,10.20776086,61.94448278,1.312011504,1.56082E+11,-2.890538275,97.04671539,101.9527163,31.62450862,41282694.9,0.216470987,80.76166867,129852140.7,594003802,6898360,2453950,0.144508759,0.188086368,2332460,229880,1.830816558,-1023697.04,1.050524509,44.26167843,95.31766821,40.6619873,17.38681641,18.10980659,,19.36203905,17.06715389,,,3007030567,56.97127031,1.090777021,131634540.3,,,102874756.5,29848570,2.542435327,2271122007,43.02872969,2.601499534,
1991,,,38.75849404,40851856.97,3153420,1814950,8.343299088,18305028.6,10.66846856,0.224371839,84921535.26,1701262880,2890.451697,0.540530696,20799343.28,3.874590704,20.36572592,4384284.682,43.26750594,8668807.019,43.26713565,9215082.127,2.406739407,0.135679322,9.059044867,37.07383389,18.08561273,14.6247685,17.30789511,10.04163293,61.74023532,1.03069653,1.25401E+11,-2.400361275,97.47085956,101.7061752,31.56881533,41210027.5,0.196133385,80.30420835,129854050.7,588577921,6875120,2399150,0.11011228,0.145792416,2323020,233480,0.925710299,-959417.6086,1.059724388,,,41.33979217,17.32200388,18.28269187,,19.23356777,17.22381892,,,3037429116,56.60288479,1.010915863,131636370.3,,,103226563.9,30009210,1.513427702,2328779911,43.39711521,2.538740932,
1992,,,36.89045411,46863429.06,3138050,1809580,8.391454054,21211488.89,10.6037092,0.249612792,86415586.71,1953419126,2805.829817,0.529620619,20741660.86,3.804011014,19.46402919,4035709.006,40.53269432,8389934.455,40.65703595,8651493.067,2.402437228,0.10228029,9.224601979,37.40905762,17.91453537,14.60747298,17.30393724,9.723763115,61.74029372,1.130682063,1.38821E+11,-3.050104904,88.85580822,92.86159602,31.62046722,41137360.5,0.21565626,80.08244068,129854110.7,696198387,6810430,2326160,0.123084298,0.140361761,2316620,235570,0.934478187,-867475.3006,0.928253718,,,41.99001801,17.18653125,18.42173349,,19.15839696,17.58433435,8018.889355,42637.1981,3066425256,56.25835962,0.95462771,131636422.3,,,107627075.6,29879100,1.515860796,2384187375,43.74164038,2.379248624,12.44903355
1993,,,36.76112466,46743860.24,3123140,1794160,8.596767019,24467925.05,10.60139898,0.245146447,87749049.81,1896266524,2761.765763,0.525165101,20874105.03,3.769327631,19.84611966,4142077.13,40.65919382,8476348.04,40.38120756,8659916.225,2.393268308,0.054229473,9.139664295,37.37778152,18.52809418,14.71169102,17.43042034,9.108012945,61.19748549,1.145608457,1.4397E+11,-2.33721476,88.45512137,89.17786691,31.56550897,41064693.4,0.216208664,79.98313226,129749400.7,686613438,6789110,2293890,0.087579786,0.182767527,2302630,239020,0.943380468,-908432.9631,0.948169165,,,42.681396,17.10209527,18.5901459,,19.78794997,17.59843739,,,3094221136,55.89382974,0.906458749,131518932.3,,,112216974.9,29970470,1.484165918,2441669222,44.10617026,2.410961806,
1994,,,36.91682999,46937513.28,3146930,1814290,8.718204025,27798479.01,10.56830704,0.240708616,93361399.18,1942777627,2844.38663,0.512813113,20983787.41,3.732384777,19.76521116,4149536.142,40.13339573,8417638.619,40.57036771,8743333.92,2.391427741,0.044697326,9.128982509,37.52752768,18.24376033,14.91854167,17.41537402,8.842378035,61.28844738,1.177292139,1.51581E+11,-3.134376633,88.31386878,92.2304167,31.51249559,40992025.9,0.20059007,79.7929832,129737657.7,683022129,6763240,2222150,0.098793142,0.144073938,2394530,242350,0.806881961,-1000644.096,0.970971529,,,43.33426306,17.02789562,18.77615249,,19.53811858,17.69286334,,,3120961839,55.53253295,0.864214347,131512019.3,,,121159878.2,30152090,1.295036437,2499098467,44.46746705,2.352048528,
1995,,,36.9064572,46923262,3164170,1854550,8.862557691,31232256.19,10.55365691,0.236808289,93696571.98,1889253508,2796.205269,0.511987716,21582843.03,3.781982439,19.78401576,4270944.732,39.36967691,8494735.09,40.28951401,8930467.679,2.398243925,0.096098413,9.056561273,37.35181134,18.53621927,15.17774573,17.51158954,8.489619772,61.01917684,1.183010827,1.57537E+11,-3.046401781,88.34239488,97.75213207,31.45734387,40919358.7,0.223651577,79.81737201,129734777.7,675648710,6773440,2213090,0.101463481,0.107961052,2449660,245930,0.813134566,-1064283.267,0.98020283,44.8818719,95.1758239,43.98784968,16.9963121,18.99606738,,19.83535609,17.75534779,,,3146593265,55.1579329,0.821266883,131512059.3,,,124928828.2,30839910,1.342309089,2558104315,44.8420671,2.361085359,
1996,,,36.96043073,46991721.52,3156360,1880550,8.941589679,33790684.14,10.54247797,0.23317909,95159583.23,2051155348,2974.495799,0.505476419,22039447.41,3.806694025,20.13208647,4439930.117,39.5519842,8708493.713,40.45876288,9156868.725,2.389818767,0.089038087,8.941617351,37.96491673,18.20654185,15.19256097,17.59344083,8.095211593,61.25268929,1.179408821,1.62041E+11,-2.952860298,89.00433434,100.9457031,31.40158623,40846691.3,0.212898829,79.83418788,129734336.7,689580558,6790740,2239750,0.087098868,0.172357397,2492480,250360,1.049338542,-1013332.566,0.990649264,,,44.62701052,16.9523451,19.22128191,,19.50510302,17.74181966,,,3171418463,54.79706689,0.788954781,131512149.3,,,128950267.4,31379670,1.610731723,2616151292,45.20293311,2.269140342,
1997,,,37.09693154,47190992.14,3112010,1855380,8.814975087,34296276.7,10.56361465,0.23049437,94464034.81,2083479578,3022.937311,0.495246597,22394054.68,3.813515227,19.8678618,4454172.799,39.42311887,8820762.161,39.50516513,9092433.367,2.406160324,0.08331226,8.937862166,38.02188426,18.04363945,15.99082654,17.05653336,8.038177535,62.05088834,1.224048622,1.71739E+11,-3.337689651,92.29868435,103.2270112,31.32902206,40774024.2,0.196053472,79.97706843,129803675.7,689222722,6749630,2250230,0.079220863,0.169282265,2463240,252210,0.90289761,-912526.7968,1.002583893,,,45.23975651,16.89090873,19.45177399,,19.38296657,17.76830281,7374.278179,42773.7481,3195321017,54.43315887,0.753686537,131580889.3,,,128760311.5,31691800,1.430766471,2674852756,45.56684113,2.243809988,13.5337622
1998,,72.65800081,37.20818751,47322844.46,3134140,1889800,8.939041358,36463874.11,10.55915778,0.22719327,86874551.96,2073216799,3097.966806,0.485379878,22509779.84,3.780610935,19.88525038,4483282.681,39.52498443,8898866.91,38.21337805,8852294.061,2.410663033,0.078609108,9.005323878,37.82200438,17.6634096,16.54298175,16.98500547,8.208832354,62.57381849,1.251940934,1.80233E+11,-4.061710566,92.36296729,103.6064885,31.27943768,40701356.7,0.175199021,79.75976103,129777669.7,669215311,6758180,2248440,0.078172107,0.110015937,2475630,252720,0.467577484,-865571.3753,1.014728159,,,45.87850837,16.83359738,19.70324512,,19.03618413,17.92092239,,,3217928794,54.0645502,0.707527565,131553629.3,,,123338426.1,31860170,0.909573656,2734083724,45.9354498,2.214363683,
1999,,74.13646465,37.23255439,47356360.33,3165900,1915380,9.041371505,39604752.61,10.57151409,0.224440347,92812113.53,2072935659,3134.363108,0.472338825,22615862.92,3.747766066,20.71625321,4695608.629,39.91552773,9044143.584,37.95918567,8843658.375,2.373293405,0.056535939,9.090238473,37.64719631,17.21408271,17.44856206,17.09444212,7.788146591,62.88390496,1.325217931,1.96223E+11,-2.11476684,93.4624344,105.2887628,31.22196499,40628689.7,0.146027299,79.7272245,129784451.7,661359418,6808320,2271920,0.070376261,0.131436758,2477050,250650,0.781220574,-904642.2042,1.03744347,,,46.49626008,16.78024494,19.97873371,,18.664584,18.12984203,,,3239086602,53.69214106,0.657497706,131553629.3,,,132416866.1,32018180,1.18559683,2793614896,46.30785894,2.177371946,
